,ARGs,cIntI-1(class1),intI-1(clinic),IS613,tnpA-01,tnpA-02,tnpA-03,tnpA-04,tnpA-05,tnpA-07,Tp614, Chloramphenicol,Thiamphenicol,Florfenicol,Sulfapyridine,Sulfadiazine,Sulfamethoxazole,Sulfathiazole,Sulfamerazine,Sulfadimidine,Sulfaquinoxaline,Sulfamethazine,Norfloxacin,Ciprofloxacin,Enrofloxacin,Ofloxacin, Tetracycline, Doxycycline,Oxytetracycline,Chloroteracycline,Erythromycin,Roxithromycin,PH,salinity,S,Fe,Fe2+,Fe3+
BBW,1923160.61 ,0.00 ,101216.11 ,0.00 ,0.00 ,2174.97 ,0.00 ,24190.77 ,3435.39 ,0.00 ,0.00 ,0.16 ,0.18 ,0.06 ,0.10 ,4.65 ,0.20 ,0.00 ,0.00 ,0.00 ,0.10 ,0.00 ,5.72 ,4.63 ,1.60 ,1.38 ,0.42 ,0.45 ,2.38 ,0.57 ,1.06 ,0.18 ,6.56 ,16.88 ,0.02 ,0.94 ,0.38 ,0.57 
BBW4,971116.48 ,2330.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,38102.18 ,24699.53 ,0.00 ,0.00 ,15.68 ,3.43 ,0.67 ,0.00 ,0.06 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.08 ,5.17 ,7.24 ,1.62 ,2.65 ,3.33 ,6.56 ,12.97 ,4.97 ,2.14 ,1.51 ,7.60 ,19.58 ,0.01 ,2.42 ,0.56 ,1.86 
BBZ,224038.30 ,5375.61 ,56658.55 ,0.00 ,0.00 ,0.00 ,0.00 ,37144.92 ,6176.93 ,0.00 ,0.00 ,0.15 ,0.00 ,0.10 ,0.10 ,10.50 ,0.40 ,0.00 ,0.00 ,0.00 ,0.10 ,0.00 ,2.40 ,1.75 ,1.10 ,0.35 ,0.40 ,0.00 ,3.20 ,0.45 ,0.95 ,0.20 ,7.81 ,16.00 ,0.02 ,1.86 ,0.86 ,1.00 
BBZ4,733524.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1953.64 ,0.00 ,9321.52 ,0.00 ,0.00 ,2202.63 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.69 ,36.67 ,5.18 ,10.21 ,3.05 ,5.86 ,19.54 ,3.51 ,2.32 ,1.55 ,7.85 ,1.70 ,0.01 ,0.88 ,0.49 ,0.40 
BLG,6345407.02 ,284974.17 ,915626.79 ,0.00 ,15904.92 ,0.00 ,3453.61 ,1133813.16 ,176872.98 ,3164.26 ,0.00 ,0.20 ,0.10 ,0.10 ,0.00 ,3.70 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.40 ,8.80 ,0.95 ,1.50 ,0.60 ,1.95 ,2.65 ,1.10 ,0.00 ,0.10 ,8.35 ,3.92 ,0.02 ,9.01 ,4.55 ,4.46 
BLG4,4823929.63 ,403519.43 ,1422077.45 ,0.00 ,11801.79 ,0.00 ,0.00 ,601138.80 ,129079.34 ,0.00 ,0.00 ,3.93 ,0.00 ,0.00 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.68 ,6.65 ,1.40 ,2.22 ,1.97 ,0.00 ,4.85 ,0.00 ,9.08 ,0.55 ,8.04 ,0.30 ,0.01 ,2.97 ,1.86 ,1.11 
HH,1966003.68 ,0.00 ,322117.85 ,0.00 ,0.00 ,0.00 ,0.00 ,173221.90 ,0.00 ,100289.35 ,0.00 ,0.00 ,0.20 ,0.20 ,0.00 ,0.55 ,1.94 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,6.75 ,9.38 ,5.48 ,6.20 ,0.61 ,0.36 ,1.10 ,0.44 ,2.51 ,0.13 ,8.09 ,1.80 ,0.90 ,6.73 ,0.32 ,6.42 
HH4,1541127.06 ,0.00 ,0.00 ,0.00 ,0.00 ,2556.59 ,2690.49 ,37195.37 ,0.00 ,100281.46 ,0.00 ,4.81 ,0.00 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.06 ,0.00 ,2.82 ,4.89 ,0.00 ,1.64 ,1.73 ,0.00 ,5.02 ,1.21 ,2.15 ,3.81 ,8.16 ,2.53 ,0.62 ,1.87 ,1.31 ,0.56 
HZ,4807730.47 ,22647.12 ,220793.88 ,0.00 ,0.00 ,1884.12 ,0.00 ,332892.52 ,33506.42 ,9909.89 ,0.00 ,0.10 ,0.30 ,0.10 ,0.00 ,1.80 ,0.55 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,9.50 ,11.55 ,6.60 ,6.80 ,0.40 ,1.45 ,0.30 ,0.75 ,0.45 ,0.00 ,8.16 ,19.68 ,0.07 ,5.53 ,2.07 ,3.46 
HZ4,8024166.68 ,18742.73 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,295730.57 ,10870.45 ,13742.38 ,1039.01 ,9.46 ,1.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.26 ,6.79 ,0.41 ,1.72 ,2.93 ,0.78 ,0.00 ,2.90 ,2.17 ,1.88 ,8.20 ,0.30 ,0.15 ,2.75 ,1.77 ,0.98 
