Species,BBW,BBZ,BLG,HH,HZ,JJ,JL,LCG,LH,LHH,LHK,MJ,NL,NL2,NL6,NL7,OJ,SY,SYC,WSK,YR,YRS,ZJ,ZJJ
s__Gammaproteobacteria_bacterium_SG8_31,139906,190762,110244,703104,568756,47720,225976,553422,744196,106736,62650,283078,70020,33698,154948,183896,465608,376464,264952,47744,348712,600684,147730,147040
s__Gammaproteobacteria_bacterium_SG8_30,188834,54026,374430,198710,257692,35540,128414,285682,240014,53972,212772,343786,111832,59630,191498,226318,231950,176010,92216,177754,137504,151046,250896,209558
s__Anaerolineae_bacterium_SG8_19,137484,99744,40412,162656,115772,640022,53440,127010,108572,75024,11198,85168,49560,39714,105668,109574,172832,75352,157956,12558,75980,203328,59496,42418
s__Steroidobacter_denitrificans,105054,40832,139296,147034,154374,29786,61642,152488,179398,31742,194878,125856,72924,48736,91530,151362,128384,122390,69544,131426,88936,114148,96966,94456
s__Anaerolineae_bacterium_SM23__63,32778,22642,42474,72718,63228,1499678,28496,80550,53030,49050,8858,45764,20862,36896,36904,36208,78982,45336,63896,12942,39402,67458,51486,23760
s__Betaproteobacteria_bacterium_SG8_39,41676,7218,86308,16544,515752,70882,48682,246512,23274,9756,38548,160258,95212,190654,100912,109088,287114,16428,36626,52414,23400,15944,70432,107734
s__unclassified_g__Ardenticatena,161312,56878,87290,80766,65326,328834,26196,71414,55478,65840,6094,47256,45686,22994,97492,92224,82592,39112,190740,10004,42844,118006,34554,27956
s__Deltaproteobacteria_bacterium_CSP1-8,10872,3006,310296,12180,133928,52896,17716,260838,162798,10410,48130,35432,47416,156372,58278,57650,87622,20558,9924,86544,54026,9910,57764,74274
s__Chloroflexi_bacterium_CSP1-4,95062,34128,85600,48188,95248,35438,23710,77608,47470,52472,37610,142252,73314,76872,114014,161700,85024,39960,37808,51454,95558,46766,139742,63814
s__Gemmatimonas_sp._SG8_23,22776,20042,21710,89238,327262,73916,35014,134468,79924,19256,5160,70624,16368,15582,27394,45406,176024,50914,251000,8236,66482,100240,18748,30352
s__Chloroflexi_bacterium_OLB14,17198,8768,155362,41222,67842,194846,51806,65544,69440,35124,37284,151376,48096,73888,30070,20742,66356,46636,217458,91944,22184,32450,46412,39376
s__Methyloceanibacter_caenitepidi,91526,172168,13922,59378,48386,29506,20194,61930,51930,47268,2484,25056,87566,179476,90566,149946,42880,70254,38050,3256,37334,81786,54376,17644
s__Betaproteobacteria_bacterium_SG8_41,18622,7306,68082,20808,361960,63256,25538,124566,25542,7268,50872,74054,34892,63944,38248,58014,145150,19352,23070,47998,33290,19040,48946,44442
s__Ilumatobacter_coccineus,184280,79830,53280,39180,53086,6664,12406,92556,31896,95168,7890,64904,68898,14416,108792,171182,43070,38310,39226,5580,56382,34812,78938,34916
s__Gemmatimonas_sp._SG8_28,18094,11904,33994,48450,162928,310820,29768,77658,45396,16006,13628,76726,44304,41190,49520,46224,83816,32996,82732,22074,30094,55930,26538,51082
s__Myxococcales_bacterium_SG8_38_1,20954,27992,16774,102310,92962,245368,44960,82646,88146,48326,5028,81890,12362,10264,24698,27418,80256,51010,52498,5232,57802,160628,19118,24742
s__uncultured_bacterium,31394,21736,63722,73574,98612,195182,25400,66518,58396,61056,38172,58344,33426,54508,39646,46468,63098,67616,61730,40866,43404,57124,36534,36384
s__Thiotrichales_bacterium_SG8_50,20228,32124,18164,116636,103156,177204,42182,92834,115630,27666,8444,56624,15100,20000,25960,28308,81748,66308,47672,9308,62380,104716,29140,29866
s__Acidobacteria_bacterium_DSM_100886,27104,7870,91350,20924,112272,92194,18560,60276,24754,12988,98008,70406,45412,55694,41498,67370,63026,27014,38924,109818,28802,20338,60142,64940
s__Sandaracinus_amylolyticus,5202,3434,26532,10350,51048,801304,5846,17688,9828,7930,4306,18262,4982,6690,6526,8642,19190,7974,80522,6320,7166,17492,6278,7380
s__Gammaproteobacteria_bacterium_SG8_47,18032,21256,14538,74424,86588,279770,33178,66088,68922,24206,7440,46618,13388,20800,22474,24074,65198,51948,36080,6714,43034,74364,16292,23018
s__Candidatus_Solibacter_usitatus,15696,5964,29118,18154,65264,566372,10450,34212,18120,10718,21434,38952,28582,36734,20642,26974,35876,16068,28640,23716,13278,17062,17648,32920
s__Wenzhouxiangella_marina,11906,27054,19830,156216,98272,5768,25630,82214,124864,39432,5998,37098,5584,2530,17550,13922,64902,44644,103740,6930,78808,96994,11768,16690
s__Ilumatobacter_nonamiensis,137222,60920,34924,28716,37718,4802,9992,64576,22938,72008,5774,45786,51636,11646,82178,130336,30994,28854,64672,4302,41642,28386,57752,24952
s__Deltaproteobacteria_bacterium_SG8_13,37596,49632,15246,69642,22180,40796,17856,27382,34150,270574,42644,21140,32752,59166,46460,44308,25410,32694,15166,18268,30116,63468,11664,33866
s__Caldilinea_aerophila,65340,19974,27516,32194,32946,357306,13388,32988,24272,33402,8304,38678,23818,20002,41946,43674,31020,20664,41256,9488,21714,37728,41642,19132
s__Gemmatimonas_sp._SG8_17,12636,8966,22386,34458,115220,244354,15882,53242,31216,15504,8352,44892,27130,26384,30462,30042,58852,22960,60898,13804,22606,41688,16020,26944
s__Gemmatimonas_sp._SM23_52,13662,10442,17266,47828,92116,199612,14772,48928,37322,16860,7952,33294,15590,17920,20920,28802,56962,21628,109634,8930,30834,57130,15844,20436
s__Acidithiobacillales_bacterium_SG8_45,10834,22768,10832,84358,90028,109268,31586,74462,86388,15122,2730,39776,7970,7502,16976,18764,69332,52772,34036,3754,45172,73620,17916,17032
s__Nitrospira_bacterium_SG8_3,23934,23600,20588,44572,30996,140890,19536,33090,26526,82836,34554,34454,32914,86466,40562,39630,29124,25394,18068,20930,17870,54466,13998,36672
s__Nitrospira_moscoviensis,5104,886,92680,3296,127004,24762,10966,35060,5144,2978,38656,67376,38444,39502,24054,36466,60340,4074,5970,225676,5516,3638,25848,40220
s__Desulfuromonas_sp._TF,7402,6944,28204,130128,30768,33116,10998,41050,83592,44302,44004,25330,10304,17310,17428,11324,24472,104556,84774,26780,47392,61512,7828,21916
s__Longilinea_arvoryzae,17622,10328,32330,35712,31458,330290,16410,35780,29668,28830,7830,33254,16420,35180,20172,20278,33790,21284,45796,12196,18622,30798,24316,14442
s__Spirochaeta_sp._JC202,26584,44306,11526,66678,20992,27122,19570,27258,33126,171764,34494,22812,27970,53158,40492,38504,25520,28934,12404,14128,29336,83176,10528,31408
s__Anaerolinea_thermolimosa,19606,12444,28090,38154,33142,313138,16556,37190,29388,29522,7542,30402,15696,32108,21426,21976,35552,22514,40722,11454,19196,34596,24038,14708
s__Bellilinea_caldifistulae,19666,12832,28464,43018,35640,283742,17476,41214,32426,30102,6402,33254,15010,30494,21688,22706,38874,24246,44042,9318,21232,36280,25610,14788
s__Gemmatirosa_kalamazoonesis,10332,4688,42502,19746,83376,178818,11092,37214,21370,7292,16096,42170,39812,28408,23906,33158,42344,13556,120328,25938,17474,23612,15028,27562
s__Levilinea_saccharolytica,21100,12180,32624,37176,34942,288232,17492,38928,29734,30768,8292,32574,16090,30294,21846,21668,35602,22608,42612,12992,19896,32212,27082,14906
s__Candidatus_Tenderia_electrophaga,9634,12544,11094,51212,76356,233066,23052,61030,47960,16222,4402,31738,8448,16760,14294,12830,53478,43170,28950,4970,30120,53614,8706,13706
s__Phycisphaerae_bacterium_SG8_4,6970,7172,7750,25772,26918,488572,7718,22120,21976,11684,6250,13140,15264,61264,8444,9384,17874,13312,12228,4780,12906,23760,5604,8516
s__Thermoanaerobaculum_aquaticum,21202,15592,43410,60310,30580,32048,12274,33010,26718,100438,22084,32578,20766,40490,29794,37510,31406,34914,53586,18734,23130,35150,13702,24218
s__Robiginitalea_biformata,52132,23968,24504,80296,18386,1258,28384,61896,53968,53226,240,87088,16014,2062,29148,24048,17762,8232,10246,488,67914,35448,47556,30058
s__Ardenticatena_maritima,19034,11194,15034,24404,31202,349754,9018,27452,19852,19610,4358,19834,10430,12948,17278,21304,26300,16410,37232,5722,17832,26374,18704,11620
s__Myxococcales_bacterium_SG8_38,10046,11258,11414,35980,37594,307472,17928,29532,27470,18490,3322,29740,6726,7720,12146,14808,31662,18128,30490,3900,15630,65528,8172,11280
s__Thioalkalivibrio_sulfidiphilus,12318,13650,13654,59674,62202,107382,25038,52962,57274,17036,8992,33006,9802,14492,15754,15244,48574,42264,27526,7502,32426,58826,12016,16370
s__Thermanaerothrix_daxensis,15412,10052,22938,32520,29122,287396,13102,33054,23998,22104,4774,23450,12866,26452,17156,18404,31348,17478,30726,7722,16214,28482,21468,11502
s__Sorangium_cellulosum,8972,4660,63196,15306,62402,239950,7938,26688,14894,11832,12164,27744,12260,16962,13102,18514,28154,14024,85512,14876,10668,15658,12598,15640
s__marine_gamma_proteobacterium_HTCC2148,25706,25668,7746,86014,41334,4100,18856,36004,73514,87940,3830,26142,11876,8620,27248,34232,30252,23646,21164,3604,41652,67136,8868,12344
s__Anaerolineae_bacterium_SM23_84,16050,9608,13460,22254,20446,353988,8358,20682,15542,30544,5220,15844,9442,16022,14866,16550,19868,12036,18044,5270,14070,23448,18900,10930
s__Anaerolinea_thermophila,14578,9206,24036,32182,26646,234218,14682,29764,24534,32504,6358,25286,12052,24464,16550,16622,28342,19024,35884,9064,16370,26036,19556,12100
s__Gemmatimonas_sp._SG8_38_2,12442,13400,11880,42398,61360,103208,14142,39984,35428,16088,5204,24712,9998,9794,14908,20594,40950,21388,49600,6168,24466,47096,12100,14474
s__Desulfuromonas_sp._DDH964,4584,3704,25980,83414,20118,23070,7008,27628,52650,28034,45618,19930,7006,10802,12004,6540,14696,83584,50140,27824,32244,34956,5862,19524
s__Haliangium_ochraceum,6624,4366,24420,15394,53168,194756,8586,26226,16002,8984,7150,27244,8766,8742,11376,14810,32640,13422,79370,20936,10628,16064,9870,11592
s__Desulfobacterales_bacterium_SG8_35_2,9242,16878,5786,116480,14398,24184,28070,19008,68048,29230,4786,21600,7916,11522,18466,14754,16618,28730,18610,3570,33020,103338,4298,10874
s__Gammaproteobacteria_bacterium_SG8_11,10714,14054,8046,46500,44018,119146,21220,37368,38732,21590,4250,26774,8242,14370,13422,13502,34228,29192,22548,3772,25068,48416,9738,12832
s__Desulfosarcina_cetonica,11248,10626,5624,33090,6772,19280,6220,8022,14050,332430,12480,8170,9302,17796,16770,10916,7118,23958,9312,5406,16936,18688,4146,11322
s__delta_proteobacterium_PSCGC_5451,17176,28660,7430,46030,12292,35194,13002,18426,22874,112632,19854,13944,16870,31692,25726,23574,16026,18924,8104,8550,18032,59902,6842,18280
s__Candidatus_Dadabacteria_bacterium_CSP1-2,5936,2896,15142,13862,97760,72240,6306,59428,12282,6848,3956,11694,11572,19982,13844,23726,50926,89852,20644,4696,9288,26822,10936,8888
s__Desulfococcus_multivorans,13688,12958,9580,40846,10686,20390,8240,11154,17860,220550,24568,12190,14158,27136,19850,15550,10514,20082,10092,10432,17046,28536,5446,16378
s__Desulfuromonas_sp._WTL,4550,3732,21920,77666,18792,24720,6366,27196,48782,27698,36116,17840,6410,11424,11250,7052,14696,73328,49698,23174,29256,34022,5354,16334
s__Ornatilinea_apprima,14172,8562,16544,26746,21438,195886,12458,23260,20392,22068,4066,21842,9352,16276,14416,14282,22356,15768,31576,6278,13732,22456,15696,9724
s__Betaproteobacteria_bacterium_SG8_40,8396,6074,16802,25672,86042,14970,23460,70066,25124,10700,10232,50784,8754,10020,12134,14326,46238,21780,27516,11148,15798,25338,18274,17796
s__Desulfobacca_acetoxidans,21488,4696,8178,7856,5428,43724,5636,5968,5660,15386,23140,11210,61404,213874,34300,28626,6424,6908,2686,13512,4468,10986,11848,23530
s__Nitriliruptor_alkaliphilus,23696,10480,10414,18082,33384,16988,7350,39432,21584,37308,1528,30010,11086,7540,18050,34888,29094,23684,82588,2274,46560,34962,25980,8074
s__Pseudolabrys_sp._Root1462,13174,2010,2976,1658,5298,71828,2772,3388,2142,1102,2270,13958,88614,174390,36882,95934,3208,1898,2948,2836,3056,1762,22102,17648
s__Conexibacter_woesei,38026,28844,16732,5920,29822,10458,3740,25224,6378,4852,4750,18978,34056,94016,41142,71864,27460,11128,13506,6574,11894,7212,43650,15952
s__Halioglobus_sp._HI00S01,20768,23096,6540,71110,30206,3426,15788,26768,57068,63370,3738,19744,9898,7144,21602,29404,22090,17578,17180,3560,37528,45924,6988,10216
s__Candidatus_Filomicrobium_marinum,79638,42212,6406,15990,12098,4772,5736,14388,11624,9316,2622,20756,36232,18966,66618,101102,11550,12324,5798,6274,24428,17592,16418,17766
s__Actinobacteria_bacterium_IMCC26207,89906,43746,18430,9858,28060,2424,4534,29910,7954,8904,2220,18982,25322,17024,45320,51602,24364,28162,37550,3060,17604,16630,17436,8260
s__Deferrisoma_camini,12764,4716,26242,24436,31660,49968,10400,30070,15670,12096,13286,39234,24454,24686,39454,26240,20036,16750,15786,12680,10020,14904,14780,54560
s__Thiobacillus_denitrificans,8406,3720,29674,15058,23706,37790,8350,20696,39080,26256,25948,76600,17058,23112,10532,10950,18834,30386,11590,28170,31954,12598,11496,13978
s__Deltaproteobacteria_bacterium_SM23_61,11290,8936,16136,17944,22264,104018,7074,18936,11828,21792,17340,13262,23824,95302,17336,18670,16344,9976,6604,11724,8714,20828,12206,20174
s__Candidatus_Entotheonella_sp._TSY1,13006,10012,12362,18658,73786,94742,10706,34054,17224,13092,6426,21574,12068,17776,15230,19980,33174,17972,15044,7746,14892,20834,10432,10850
s__Syntrophobacter_fumaroxidans,22802,19566,12078,29604,15128,36728,13034,16892,15628,28608,20024,12946,24324,48496,36326,37190,16822,11466,7386,11880,8524,45752,9790,18702
s__Desulfatitalea_tepidiphila,11554,11762,9126,35696,10046,24092,7542,10822,15274,168716,20802,11362,12342,27092,19096,13196,10066,17812,8646,9396,14876,23726,5784,14742
s__Acidithiobacillales_bacterium_SM23_46,6540,7254,11488,40166,55610,79458,10364,27658,20838,5964,6718,30696,9146,10816,13834,16030,34796,13112,7656,10210,13326,25866,29250,25172
s__Sedimenticola_selenatireducens,12018,8874,7204,41748,37890,49698,16884,31352,36994,21174,5522,19790,9584,13722,12804,10952,29674,30482,18350,3530,22012,44054,7596,12366
s__Actinobacteria_bacterium_IMCC26256,19508,8810,12650,10146,49304,2256,5180,50266,12740,4784,2352,33156,20034,31658,24486,46680,44500,21410,12058,4754,21598,14902,39200,10528
s__endosymbiont_of_unidentified_scaly_snail_isolate_Monju,12104,7376,4912,45218,23422,40428,11854,20540,31698,42054,5830,13608,9540,12280,13002,9914,18840,53162,11664,3508,24470,70668,5370,10304
s__Sulfuritalea_hydrogenivorans,5110,1180,161560,4014,18276,10644,4002,47826,7094,4664,55950,13434,10092,10804,6500,7824,10496,9278,3426,68438,7938,3648,10780,15740
s__Betaproteobacteria_bacterium_SCGC_AG-212-J23,6916,472,23510,2078,83250,32268,12190,67442,4814,1072,10518,44892,20186,25432,12102,18792,47640,2720,11944,14950,7660,1864,14816,28188
s__Nitrosococcus_halophilus,8056,9150,8596,32126,55860,65932,14576,32854,29952,14164,4110,18284,7510,13684,11514,12446,33938,24598,20306,3980,19782,34108,7670,9912
s__Nitrospira_bacterium_SM23_35,2986,1886,23640,4526,5294,196326,2026,11914,2888,5230,19216,5244,28830,109288,5982,6738,6962,3284,1636,16488,3028,4138,5580,19242
s__Lokiarchaeum_sp._GC14_75,728,658,728,1856,1638,451714,738,1616,1484,2140,384,1444,684,2234,786,962,1546,1324,1074,348,902,1902,684,760
s__delta_proteobacterium_PSCGC_5342,14028,24146,5290,36838,9794,13176,10234,14268,17126,97844,16682,10598,13318,25142,20252,18550,13398,15604,5646,6512,15442,45780,4912,13780
s__Alphaproteobacteria_bacterium_BRH_c36,61622,35514,5370,15400,14074,8824,5700,14154,11988,7056,2422,19868,26942,14194,50568,75002,12184,12092,5860,4742,19708,15290,14360,13756
s__gamma_proteobacterium_NOR5-3,10124,13178,6358,51494,40676,1936,15254,35504,52742,15616,3502,19116,5422,4100,10816,12764,31470,23938,20794,3108,26032,40272,9118,10288
s__Rhodoplanes_sp._Z2-YC6860,11306,4276,7800,4632,35190,35068,5518,12638,5276,2282,4496,31176,43422,100152,23284,48068,14502,5654,5694,6484,6248,4990,26864,18370
s__Sedimenticola_sp._SIP-G1,10728,8028,5744,35210,37102,49490,15114,27110,32164,19474,5014,17920,9238,13242,12520,9618,27254,27232,15034,3034,18934,39028,6512,11810
s__Candidatus_Rokubacteria_bacterium_CSP1-6,5978,2640,17038,8012,41022,108490,5612,23776,9296,4266,11692,17414,22544,31200,12180,19298,20272,8576,9810,13028,8816,9206,15172,25842
s__candidate_division_NC10_bacterium_CSP1-5,6134,3568,19978,9018,35050,153128,5122,24326,11900,5686,11090,13514,12214,22124,11128,14186,18648,9306,11684,11626,7536,10808,8844,13126
s__Rhodothermaceae_bacterium_RA,8326,6938,10170,24840,38092,44898,9338,26828,21674,12126,4998,20054,6932,8308,10492,13762,23328,16814,73280,5192,15948,25086,7026,9386
s__Hyphomicrobium_zavarzinii,57838,23176,8086,8882,13386,3508,4334,16864,6552,4858,3822,17516,30198,18626,47308,76906,13644,13044,5454,8218,13710,9314,20988,12896
s__bacterium_SM23_57,9638,7182,9274,23528,17898,151030,8766,19778,16328,17780,2170,13142,6250,11728,11084,11198,18242,11444,17882,2804,10546,20792,9934,6642
s__unclassified_g__Nitrosopumilus,408,96,2872,2188,155514,488,35766,113624,16940,940,30,18088,1568,2016,3380,4236,40920,16258,2544,58,3082,5904,5238,2268
s__Candidatus_Nitrospira_nitrificans,8570,726,23766,1408,51642,10396,5492,12616,2516,1700,10946,83740,20674,20302,16318,23438,25066,2124,3812,59754,3446,1674,16812,26376
s__Gammaproteobacteria_bacterium_SG8_15,5766,9298,4988,28592,32690,97552,17674,25542,25192,9454,2070,22284,4728,7926,8716,8612,25568,18824,15186,2246,15526,30418,5382,7710
s__Acidobacteriaceae_bacterium_KBS_96,6630,1766,7572,5326,16912,254964,2830,9058,5208,3354,6152,12000,11842,13890,6464,7218,9632,4912,9906,7248,4294,5580,4580,10958
s__Thiolapillus_brandeum,8802,9184,5786,37614,27456,42936,12040,24878,32212,21380,4360,14334,6906,10408,10300,8348,21810,28564,15666,3060,19230,40838,5904,8898
s__Burkholderiales_bacterium_JOSHI_001,4320,1188,61346,4948,16146,10518,5716,22940,7110,4552,46354,28768,9480,7130,9764,9290,15466,10698,4218,70122,5780,3972,27774,27630
s__Phycisphaerae_bacterium_SM1_79,2330,1506,3074,4988,7896,299330,1476,5468,3584,3578,2496,3740,8102,35940,2998,3296,3794,2820,2388,1984,2538,4504,2128,2924
s__Candidatus_Nitrospira_nitrosa,5638,944,28820,2578,35400,12410,4404,14570,3092,2014,15062,56040,15426,15846,11738,16416,19370,3598,3376,98928,3956,2866,16162,23006
s__delta_proteobacterium_NaphS2,11138,11240,9460,22480,9260,37604,7660,9626,10830,72808,18800,8560,14772,39780,17754,16236,8476,11606,7436,10474,9102,25354,5538,14554
s__bacterium_UASB270,9400,8024,11630,17544,16754,119900,5706,15374,10334,28200,11148,10500,9732,23066,12078,12064,12888,10526,13048,7790,9144,17184,7310,9922
s__Desulfobacterales_bacterium_SG8_35,6208,13686,4340,68106,8744,13744,21574,12932,39206,16742,3192,17102,6070,10416,13674,10228,11524,18194,10986,2464,18056,69094,2758,8640
s__Burkholderiales_bacterium_GJ-E10,13300,764,46046,1358,3676,10600,8254,5450,4008,2328,66106,25890,20904,12788,16602,18264,4600,8240,1826,66470,3468,952,25518,38044
s__Candidatus_Entotheonella_sp._TSY2,8738,7674,9230,18074,58460,71206,8656,27284,16378,8534,4056,15060,8766,13270,10826,14400,25598,14476,14134,4940,11406,18292,8020,7916
s__Nitrospina_gracilis,1084,1066,6060,8214,49128,15094,43050,81490,31024,2864,1144,18140,1550,2620,2948,2504,67248,18284,6228,1424,7542,17982,10470,5840
s__Pyrinomonas_methylaliphatogenes,10354,3182,18958,8230,29514,62560,5894,18714,8960,5132,13068,28878,16818,21394,13688,22288,17246,7730,24726,14518,9526,8738,14480,16092
s__Nitrospira_bacterium_SG8_35_1,4158,8454,10664,35948,10004,69256,12752,16594,21392,12356,6396,13026,10558,42940,9334,9432,11200,12444,7752,6344,10764,43612,3698,10428
s__Rhodospirillales_bacterium_URHD0088,8072,4830,12756,11090,44948,112956,7538,27214,12684,4290,6960,12340,7876,10374,9880,13934,22288,11636,7768,8742,10304,12852,8406,7308
s__Nitrospira_defluvii,2104,794,73788,3910,26234,13066,3732,14884,5572,3032,17502,21148,9222,10568,7320,8232,14288,3822,5106,117710,7904,3844,7392,10380
s__Haliea_salexigens,15526,12530,8308,40130,24006,2114,9742,19080,34710,42938,3870,15514,8074,7046,16844,26928,16192,13172,12588,4266,17444,25870,5560,8034
s__Pedosphaera_parvula,5568,3068,33120,10032,32264,45076,5266,19682,9314,7222,39574,19644,11182,20422,7978,7704,15624,8970,14518,23884,7430,8132,7290,26170
s__Nitrospira_bacterium_SG8_35_4,2574,2138,16972,8508,9416,124106,4250,17478,6286,5944,10376,6840,15768,74322,6310,9076,9356,5802,3552,10396,3926,13070,4320,12546
s__Gemmatimonas_phototrophica,5120,2678,24466,10568,40734,42046,6366,19802,10716,3438,11718,21498,14702,11176,11988,14744,20524,6990,40598,17800,9596,12472,7806,15086
s__Thioalkalivibrio_thiocyanodenitrificans,6240,7580,7212,28156,32060,42982,11450,25446,27244,8792,4692,17394,5628,8860,8532,8800,25130,20114,15308,4230,16594,28114,6214,8938
s__uncultured_Desulfobacterium_sp.,9566,10202,7700,24450,6052,19088,7784,8490,13322,94462,14872,10154,10730,25962,14710,11950,8098,17204,5224,7342,12164,19508,4264,11766
s__Phycicoccus_jejuensis,38652,2818,1156,2128,666,284,3582,864,2010,5816,2654,103880,38522,12030,29298,40688,1076,1650,51604,1030,850,2634,19644,8720
s__Desulfosarcina_sp._BuS5,10094,10756,4554,27060,5988,12100,9096,8054,13976,112480,9636,9996,8436,17764,15584,12586,8406,18382,4944,3688,12358,22660,3616,9576
s__Ktedonobacter_racemifer,10300,5344,10802,11364,15956,136478,5436,15132,10132,10036,3126,13518,10134,10036,10450,12898,13338,7680,16542,4912,7724,13320,9220,5942
s__Desulfatitalea_sp._BRH_c12,8212,7632,7682,23068,8128,24048,5122,8544,11740,104268,17772,7604,9518,21684,13236,9582,7240,12448,6654,8264,9980,16818,5618,10866
s__Leptolinea_tardivitalis,7652,4566,13950,14196,13222,123506,7000,14552,11666,13112,3722,13172,7288,14910,8624,8402,13552,9000,18844,5430,8012,13258,10094,6350
s__Latescibacteria_bacterium_DG_63,4488,3194,15616,10356,20004,125160,4722,14564,9304,7912,6412,17872,6556,12006,7328,9072,12064,7110,13504,9208,6072,10548,5496,15856
s__Candidatus_Contendobacter_odensis,6508,5604,23392,21746,28192,30266,8810,19850,20272,14128,11540,14956,7322,13344,8952,9002,19100,16446,12806,11072,12800,20200,8254,9090
s__Candidatus_Microthrix_parvicella,30846,15480,19288,9866,23878,3566,3752,28160,8956,9842,1338,16352,11364,8514,18558,26634,20614,24658,15242,2024,17188,17560,14170,5714
s__Hyphomicrobium_sulfonivorans,32616,16874,9250,10396,14844,1864,7928,31698,8762,3840,2132,14052,15896,15156,27406,40902,17466,17626,5732,5444,11936,16358,10580,10382
s__endosymbiont_of_Ridgeia_piscesae,7546,6808,4360,28072,24740,36942,11536,21378,25928,15570,3438,13514,6128,8934,8668,7368,19758,22098,12258,2120,14760,31516,5298,7768
s__Anaeromyxobacter_sp._Fw109-5,5100,2326,32900,5854,17826,35584,4532,13892,6600,5290,29520,17010,20330,18506,8730,10734,12578,6640,15582,31916,5620,5344,9922,21576
s__Geopsychrobacter_electrodiphilus,3282,3062,7028,47292,11864,15190,4150,24908,30498,17232,7490,9200,3508,6382,6144,3944,8528,43598,31978,5014,17876,24032,2536,6274
s__Acidithiobacillales_bacterium_SM1_46,4488,4294,8594,11760,40890,51644,7454,20310,11680,4102,5626,22332,6430,7370,9320,11616,22564,11008,6742,8314,10530,10934,22968,19210
s__uncultured_Chloroflexi_bacterium,5332,3246,18274,11382,14334,98416,7430,14684,10978,9268,3568,15822,7626,15528,7088,6482,14256,8402,21356,7040,6152,9808,9868,6510
s__Desulfatiglans_anilini,7404,7000,11248,15806,10466,31924,5294,10128,8844,35406,19990,7548,13458,39922,12522,11350,7970,10194,6904,11748,6304,16644,5346,14610
s__Gaiella_sp._SCGC_AG-212-M14,14494,1844,15094,942,29558,1550,1096,21292,1378,1300,2692,13326,21274,19414,23574,48376,29556,2144,1608,5780,7732,1232,46978,12654
s__uncultured_Thiohalocapsa_sp._PB-PSB1,10996,9398,4380,22310,15820,13754,6614,14078,17492,81982,2760,8846,6592,8216,10474,10212,11276,11812,9114,2940,11022,21792,4728,7944
s__Kouleothrix_aurantiaca,9784,4750,9214,9768,13352,116496,4972,11372,8520,8112,3814,10752,7216,9416,9430,11214,10948,6990,19272,5718,6670,10794,8666,6066
s__Ignavibacterium_album,3510,1902,83758,7916,9822,23338,3166,8934,7790,40748,7388,12966,6430,16998,7284,4266,4622,7160,31300,8506,4822,4754,2960,10178
s__Candidatus_Koribacter_versatilis,10720,2758,14206,8650,22308,59114,4126,14522,8150,5128,8846,12478,25946,16564,8990,11414,12490,6772,14300,9660,5520,7796,7450,13950
s__Pelobacter_seleniigenes,3050,2932,6456,39640,10976,17722,3796,33746,22650,18720,7842,7622,3644,7448,6312,4120,7362,37460,22978,5132,14934,17826,2378,5634
